Journal,Quartile,IF
therapeutic drug monitoring,Q2,2.3
therapeutic hypothermia and temperature management,Q4,0.9
therapeutic innovation regulatory science,Q3,2.1
therapeutic recreation journal,Q4,0.6
therapeutics and clinical risk management,Q2,2.6
therapeutische umschau,Q4,0.2
therapie,Q3,2.1
theriogenology,Q1,2.9
theriogenology wild,Q3,1.4
thermal engineering,Q4,1.3
thermal science,Q4,1.1
thermal science and engineering progress,Q1,5.6
thermo,Q2,3.9
thermochimica acta,Q2,3.6
thermophysics and aeromechanics,Q4,0.5
thesis eleven,Q4,0.4
thin solid films,Q3,2.4
thin walled structures,Q1,8.3
think philosophy for everyone,,0.4
thinking reasoning,Q3,2
thinking skills and creativity,Q1,5.3
third text,,0.2
third world quarterly,Q2,2.4
thomist,,0.2
thoracic and cardiovascular surgeon,Q3,1.5
thoracic and cardiovascular surgeon reports,Q4,0.4
thoracic cancer,Q2,2.6
thoracic research and practice,Q4,0.8
thoracic surgery clinics,Q3,1.6
thorax,Q1,9.1
thresholds,,0.1
thrombosis and haemostasis,Q1,5.2
thrombosis journal,Q2,2.7
thrombosis research,Q2,3.4
thunderbird international business review,Q3,2.9
thyroid,Q1,6.6
thyroid research,Q3,2.8
ticks and tick borne diseases,Q1,3.4
ticontre teoria testo traduzione,,<0.1
tidsskrift for den norske laegeforening,Q2,1.2
tidsskrift for samfunnsforskning,Q3,0.8
tiempos modernos revista electronica de historia moderna,Q2,0.4
tieraerztliche praxis ausgabe grosstiere nutztiere,Q4,0.3
tieraerztliche praxis ausgabe kleintiere heimtiere,Q4,0.4
tijdschrift voor communicatiewetenschap,Q4,0.3
tijdschrift voor economische en sociale geografie,Q2,2.5
tijdschrift voor filosofie,,0.1
tijdschrift voor geschiedenis,Q3,0.2
tijdschrift voor nederlandse taal en letterkunde,,0.2
tijdschrift voor rechtsgeschiedenis revue d histoire du droit the legal history review,Q3,0.2
tilburg law review journal of international and european law,Q2,0.9
timarit um uppeldi og menntun icelandic journal of education,Q4,0.2
time mind the journal of archaeology consciousness and culture,,0.4
time society,Q2,1.2
timing time perception,Q4,0.9
tintas quaderni di letterature iberiche e iberoamericane,,<0.1
tirant,,<0.1
tire science and technology,Q4,0.9
tissue barriers,Q2,3.1
tissue cell,Q1,3.1
tissue engineering and regenerative medicine,Q2,5.1
tissue engineering part a,Q3,2.8
tissue engineering part b reviews,Q2,4.3
tissue engineering part c methods,Q3,2
tizard learning disability review,Q4,0.7
tm technisches messen,Q4,0.8
tobacco control,Q1,3.3
tobacco induced diseases,Q2,2.4
tobacco prevention cessation,Q3,2.3
tobacco use insights,Q3,1.8
tocqueville review,Q4,0.2
tohoku journal of experimental medicine,Q2,1.5
tohoku mathematical journal,Q3,0.5
tokyo journal of mathematics,Q4,0.4
tomography,Q2,2.5
tomsk state university journal,Q4,0.1
tomskii zhurnal lingvisticheskikh i antropologicheskikh issledovanii tomsk journal of linguistics and anthropology,Q4,0.2
top,Q4,1.5
topia canadian journal of cultural studies,Q4,0.2
topicos revista de filosofia,,0.1
topics in catalysis,Q2,3.7
topics in clinical nutrition,Q4,0.4
topics in cognitive science,Q1,3.3
topics in companion animal medicine,Q3,1.2
topics in current chemistry,Q1,10.9
topics in early childhood special education,Q3,1.5
topics in geriatric rehabilitation,Q4,0.9
topics in language disorders,Q3,0.9
topics in linguistics,,0.4
topics in spinal cord injury rehabilitation,Q3,1.4
topics in stroke rehabilitation,Q2,2.3
topoi an international review of philosophy,,2
topoi revista de historia,Q3,0.2
topological methods in nonlinear analysis,Q2,0.8
topology and its applications,Q3,0.5
toronto journal of theology,,0.1
torre del virrey revista de estudios culturales,,<0.1
torres de lucca revista internacional de filosofia politica,,0.2
tort law review,Q4,0.1
total quality management business excellence,Q2,3.9
totalitarismus und demokratie,Q4,0.2
toung pao,,0.1
tourism,Q3,2.2
tourism analysis,Q3,1.4
tourism and hospitality management croatia,Q2,2.3
tourism and hospitality research,Q2,3.4
tourism culture communication,Q3,1.1
tourism economics,Q1,3.4
tourism geographies,Q1,6.6
tourism management,Q1,14.5
tourism management perspectives,Q1,8.3
tourism management studies,Q1,4.5
tourism planning development,Q2,2.7
tourism recreation research,Q1,4
tourism review,Q1,9.1
tourism review international,Q3,1.4
tourist studies,Q2,3.3
town and regional planning,Q4,1
town planning review,Q2,2.3
toxicologic pathology,Q2,2.4
toxicological and environmental chemistry,Q4,1.2
toxicological research,Q2,3.3
toxicological sciences,Q1,5.2
toxicologie analytique et clinique,Q3,2.2
toxicology,Q1,5.2
toxicology and applied pharmacology,Q2,3.6
toxicology and environmental health sciences,Q4,2
toxicology and industrial health,Q3,1.6
toxicology communications,Q4,0.9
toxicology in vitro,Q3,2.7
toxicology letters,Q2,3.1
toxicology mechanisms and methods,Q3,2.9
toxicology research,Q3,2.9
toxicon,Q3,2.8
toxicon x,Q2,3.2
toxics,Q1,4.9
toxin reviews,Q3,2.7
toxins,Q2,4
tqm journal,Q2,4.5
trabajo social,Q4,0.5
trabajo social global global social work,Q4,0.1
trabajos de prehistoria,Q3,0.8
trabajos y comunicaciones,Q3,0.2
trac trends in analytical chemistry,Q1,13.5
trace elements and electrolytes,Q4,1.3
traditio studies in ancient and medieval history thought and religion,,0.6
tradition a journal of orthodox jewish thought,,0.4
tradition discovery,,0.1
traditional kampo medicine,Q3,1.6
traditional medicine research,Q3,1.3
tradumatica traduccio i tecnologies de la informacio i la comunicacio,Q2,1.1
traffic,Q3,2.8
traffic injury prevention,Q3,2.1
traffic safety research,Q4,1.1
training and education in professional psychology,Q3,1.6
traitement automatique des langues,Q4,<0.1
trakya university journal of natural sciences,Q3,0.9
trames journal of the humanities and social sciences,Q4,0.4
trans form acao,,0.5
trans pasando fronteras,Q4,0.1
trans revista de traductologia,,0.2
trans revista transcultural de musica,,<0.1
trans revue de litterature generale et comparee,,0.1
trans trans regional and national studies of southeast asia,Q1,1.3
transactions in gis,Q2,2.4
transactions in planning and urban research,Q3,1.9
transactions of a razmadze mathematical institute,Q4,0.3
transactions of famena,Q3,1.6
transactions of nonferrous metals society of china,Q1,5.5
transactions of the american fisheries society,Q3,1.5
transactions of the american mathematical society,Q1,1.4
transactions of the american mathematical society series b,Q1,1.4
transactions of the american philological association,,0.9
transactions of the association for computational linguistics,Q1,11.7
transactions of the canadian society for mechanical engineering,Q4,1.3
transactions of the charles s peirce society,,0.1
transactions of the indian ceramic society,Q3,1
transactions of the indian institute of metals,Q3,1.8
transactions of the institute of british geographers,Q1,3.8
transactions of the institute of measurement and control,Q3,1.8
transactions of the institute of metal finishing,Q3,1.2
transactions of the international society for music information retrieval,,2
transactions of the japan society for aeronautical and space sciences,Q4,0.8
transactions of the korean society of mechanical engineers a,Q4,0.2
transactions of the korean society of mechanical engineers b,Q4,0.2
transactions of the london mathematical society,Q3,0.5
transactions of the philological society,,0.7
transactions of the royal society of south australia,Q4,0.5
transactions of the royal society of tropical medicine and hygiene,Q3,1.6
transactions of tianjin university,Q1,7.8
transactions on combinatorics,Q3,0.5
transactions on data privacy,Q3,1.1
transactions on electrical and electronic materials,Q2,4.2
transactions on emerging telecommunications technologies,Q3,2.6
transactions on maritime science toms,Q3,1.5
transboundary and emerging diseases,Q1,2.6
transcription austin,Q2,3.8
transcultural psychiatry,Q1,2
transcultural studies,Q4,<0.1
transfer european review of labour and research,Q1,3.8
transfers interdisciplinary journal of mobility studies,Q1,0.7
transformation an international journal of holistic mission studies,,0.4
transformation critical perspectives on southern africa,Q2,0.9
transformation groups,Q3,0.6
transformations in business economics,Q3,1.4
transforming anthropology,Q2,1
transforming government people process and policy,Q2,2.8
transfusion,Q3,2
transfusion and apheresis science,Q4,1.2
transfusion clinique et biologique,Q4,1.3
transfusion medicine,Q4,1.3
transfusion medicine and hemotherapy,Q3,2.1
transfusion medicine reviews,Q2,3
transfusionsmedizin,Q4,0.1
transgender health,Q3,1.8
transgenic research,Q4,1.9
transinformacao,Q4,0.4
transition,Q4,0.2
transition metal chemistry,Q2,2.8
translation and interpreting studies,Q2,1.1
translation and literature,,0.2
translation and translanguaging in multilingual contexts,Q3,0.5
translation interpreting the international journal of translation and interpreting,Q2,1.7
translation review,,0.3
translation spaces,,1.4
translation studies,Q2,1.7
translational and clinical pharmacology,Q3,2.4
translational andrology and urology,Q3,1.9
translational animal science,Q2,1.9
translational behavioral medicine,Q2,2.8
translational breast cancer research,Q2,3.9
translational cancer research,Q3,2.1
translational gastroenterology and hepatology,Q2,3.3
translational issues in psychological science,Q2,2
translational journal of the american college of sports medicine,Q2,3
translational lung cancer research,Q2,3.4
translational neurodegeneration,Q1,19.1
translational neuroscience,Q3,2.2
translational oncology,Q2,4.9
translational pediatrics,Q2,2
translational psychiatry,Q1,7.5
translational research,Q1,6.1
translational research in anatomy,Q2,1.5
translational sports medicine,Q3,1.9
translational stroke research,Q1,4.2
translational vision science technology,Q2,2.7
translator,Q2,1.2
transnational corporations review,Q1,2.8
transnational environmental law,Q1,3.4
transnational screens,,0.4
transnav international journal on marine navigation and safety of sea transportation,Q4,0.8
transplant immunology,Q3,1.6
transplant infectious disease,Q2,2.5
transplant international,Q1,3.6
transplantation,Q1,4.9
transplantation and cellular therapy,Q1,4.7
transplantation direct,Q2,2.2
transplantation proceedings,Q4,0.8
transplantation reviews,Q2,3.2
transport,Q3,3.1
transport and telecommunication journal,Q4,1.2
transport in porous media,Q3,2.7
transport policy,Q1,6.2
transport problems,Q4,0.6
transport reviews,Q1,11
transportation,Q1,4.1
transportation geotechnics,Q1,6.2
transportation in developing economies,Q3,2.3
transportation infrastructure geotechnology,Q2,2.8
transportation journal,Q4,1.4
transportation letters the international journal of transportation research,Q2,3.4
transportation planning and technology,Q3,2.1
transportation research interdisciplinary perspectives,Q2,4.8
transportation research part a policy and practice,Q1,7.2
transportation research part b methodological,Q1,6.5
transportation research part c emerging technologies,Q1,8.4
transportation research part d transport and environment,Q1,8.7
transportation research part e logistics and transportation review,Q1,9.3
transportation research part f traffic psychology and behaviour,Q1,5
transportation research record,Q3,2.2
transportation safety and environment,Q2,3.5
transportation science,Q1,5
transportmetrica a transport science,Q2,3.9
transportmetrica b transport dynamics,Q2,4.2
transylvanian review,Q3,0.1
transylvanian review of administrative sciences,Q4,0.6
trashumante revista americana de historia social,,0.2
trauma england,Q4,0.7
trauma monthly,Q4,0.4
trauma surgery acute care open,Q2,2.5
trauma violence abuse,Q1,6.7
traumatology,Q2,1.7
travail genre et societes,Q3,0.5
travail humain,Q4,0.4
travel behaviour and society,Q1,5.8
travel medicine and infectious disease,Q1,5.6
travmatologiya i ortopediya rossii,Q4,0.3
treballs de sociolinguistica catalana,Q4,0.3
tree genetics genomes,Q2,2.1
tree physiology,Q1,4
tree ring research,Q3,1.3
trees forests and people,Q1,3.6
trees structure and function,Q2,2.3
tremor and other hyperkinetic movements,Q3,1.9
trends and issues in crime and criminal justice,Q3,1
trends in anaesthesia and critical care,Q4,0.8
trends in biochemical sciences,Q1,14.4
trends in biotechnology,Q1,16.6
trends in cancer,Q1,21.6
trends in cardiovascular medicine,Q1,8.6
trends in cell biology,Q1,25.3
trends in chemistry,Q1,11.1
trends in classics,,0.1
trends in cognitive sciences,Q1,20.3
trends in ecology evolution,Q1,17.9
trends in endocrinology and metabolism,Q1,20.1
trends in environmental analytical chemistry,Q1,12.2
trends in food science technology,Q1,17.4
trends in genetics,Q1,12.9
trends in glycoscience and glycotechnology,Q4,0.3
trends in hearing,Q1,3.4
trends in higher education,Q2,2.1
trends in immunology,Q1,13.1
trends in microbiology,Q1,18.7
trends in molecular medicine,Q1,18.1
trends in neuroscience and education,Q2,3.3
trends in neurosciences,Q1,15.7
trends in organized crime,Q1,2.7
trends in parasitology,Q1,7.6
trends in pediatrics,Q4,0.2
trends in pharmacological sciences,Q1,24
trends in plant science,Q1,21.2
trends in psychiatry and psychotherapy,Q2,3
trends in urology mens health,Q4,0.6
tria territorio della ricerca su insediamenti e ambiente,Q4,0.1
trials,Q3,2.1
tribology international,Q1,7.6
tribology letters,Q2,3.5
tribology materials surfaces interfaces,Q3,2.4
tribology online,Q4,1.2
tribology transactions,Q2,2.7
trimestre economico,Q1,3
triple helix,Q3,1.6
triplec communication capitalism critique,Q3,1
tripodos,Q2,1.7
tropical agriculture,Q4,0.4
tropical animal health and production,Q2,2
tropical animal science journal,Q3,1.1
tropical biomedicine,Q4,1
tropical conservation science,Q3,1.8
tropical cyclone research and review,Q1,5.1
tropical diseases travel medicine and vaccines,Q2,3.1
tropical doctor,Q4,0.6
tropical ecology,Q3,1.9
tropical grasslands forrajes tropicales,Q3,0.9
tropical life sciences research,Q3,1.2
tropical medicine and health,Q1,3.9
tropical medicine and infectious disease,Q2,3.1
tropical medicine international health,Q2,2.6
tropical plant biology,Q2,2.1
tropical plant pathology,Q3,1.9
tropical plants,Q2,2.9
tropical zoology,Q3,0.9
tropics,Q4,0.7
trudy instituta matematiki i mekhaniki uro ran,Q4,0.2
trumpeter journal of ecosophy,Q4,0.2
trusts trustees,Q4,0.2
tsinghua china law review,Q3,0.3
tsinghua science and technology,Q1,5.4
tsq transgender studies quarterly,Q3,1
tsukuba journal of mathematics,Q4,0.3
tuberculosis,Q2,2.9
tuberculosis and respiratory diseases,Q2,3.6
tuberkuloz ve toraks tuberculosis and thorax,Q4,1
tuexenia,Q4,1
tumori journal,Q4,2
tumour virus research,Q2,3.8
tuna ajalookultuuri ajakiri,Q4,<0.1
tungsten,Q1,9
tuning journal for higher education,Q3,0.7
tunisian journal of mathematics,Q1,1.3
tunnelling and underground space technology,Q1,8.7
turczaninowia,Q4,0.5
